name_en,name_he,name_ru
Venezia,ונציה,Венеция
Empoli,אמפולי,Эмполи
Monza,מונצה,Монца
RB Leipzig,ר. ב. לייפציג,РБ Лейпциг
Bayer Leverkusen,באייר לברקוזן,Байер 04
Eintracht Frankfurt,איינטרכט פרנקפורט,Айнтрахт Франкфурт
VfB Stuttgart,שטוטגרט,Штутгарт
Borussia Mönchengladbach,בורוסיה מנשנגלדבך,Боруссия Мёнхенгладбах
SC Freiburg,פרייבורג,Фрайбург
Werder Bremen,וורדר ברמן,Вердер
Union Berlin,אוניון ברלין,Унион Берлин
Mainz 05,מיינץ 05,Майнц 05
Wolfsburg,וולפסבורג,Вольфсбург
TSG Hoffenheim,הופנהיים,Хоффенхайм
FC Augsburg,אוגסבורג,Аугсбург
VfL Bochum,בוכום,Бохум
FC Heidenheim,היידנהיים,Хайденхайм
Holstein Kiel,הולשטיין קיל,Хольштайн Киль
St. Pauli,זנקט פאולי,Санкт-Паули
Maccabi Haifa,מכבי חיפה,Маккаби Хайфа
Maccabi Tel Aviv,מכבי תל אביב,Маккаби Тель-Авив
Hapoel Be'er Sheva,הפועל באר שבע,Хапоэль Беэр-Шева
Hapoel Tel Aviv,הפועל תל אביב,Хапоэль Тель-Авив
Beitar Jerusalem,"בית""ר ירושלים",Бейтар Иерусалим
Maccabi Netanya,מכבי נתניה,Маккаби Нетания
Hapoel Haifa,הפועל חיפה,Хапоэль Хайфа
Bnei Sakhnin,בני סכנין,Бней Сахнин
Hapoel Ramat Gan Givatayim,הפועל רמת-גן גבעתיים,Хапоэль Рамат-Ган Гиватаим
Hapoel Jerusalem,הפועל ירושלים,Хапоэль Иерусалим
Ironi Kiryat Shmona,עירוני קריית שמונה,Ирони Кирьят-Шмона
Maccabi Petah Tikva,מכבי פתח תקווה,Маккаби Петах-Тиква
Hapoel Petah Tikva,הפועל פתח תקווה,Хапоэль Петах-Тиква
Ironi Tiberias,עירוני טבריה,Ирони Тверия
F.C. Ashdod,מ.ס. אשדוד,Ашдод
Maccabi Bnei Reineh,מכבי בני ריינה,Маккаби Бней Рейне
Bnei Yehuda,בני יהודה,Бней Иегуда
Hapoel Hadera,הפועל חדרה,Хапоэль Хадера
Hapoel Kfar Saba,הפועל כפר סבא,Хапоэль Кфар-Сава
Hapoel Kfar Shalem,הפועל כפר שלם,Хапоэль Кфар-Шалем
Hapoel Nof HaGalil,הפועל נוף הגליל,Хапоэль Ноф-ха-Галиль
Hapoel Akko,הפועל עכו,Хапоэль Акко
Hapoel Afula,הפועל עפולה,Хапоэль Афула
Hapoel Rishon LeZion,הפועל ראשון לציון,Хапоэль Ришон-ле-Цион
Hapoel Ra'anana,הפועל רעננה,Хапоэль Раанана
F.C. Kafr Qasim,מ.ס. כפר קאסם,ФК Кафр-Касем
F.C. Kiryat Yam,מ.ס. קריית ים,ФК Кирьят-Ям
Maccabi Herzliya,מכבי הרצליה,Маккаби Герцлия
Maccabi Kavilio Jaffa,מכבי קביליו יפו,Маккаби Кавильо Яффо
Ironi Modi'in,עירוני מודיעין,Ирони Модиин
1. FC Köln,פ. צ. קלן,Кёльн
FC Schalke 04,שאלקה 04,Шальке 04
Hamburger SV,המבורג,Гамбург
SC Paderborn 07,פאדרבורן 07,Падерборн 07
SV Elversberg,אלוורסברג,Эльферсберг
Deportivo de A Coruña,דפורטיבו דה א-קורוניה,Депортиво Ла-Корунья
Elche,אלצ'ה,Эльче
Levante,לבאנטה,Леванте
Málaga,מאלגה,Малага
Racing Santander,ראסינג סנטנדר,Расинг Сантандер
Coventry City,קובנטרי סיטי,Ковентри Сити
Hull City,האל סיטי,Халл Сити
Leeds United,לידס יונייטד,Лидс Юнайтед
Frosinone,פרוזינונה,Фрозиноне
Club Brugge,קלאב ברוז',Брюгге
Feyenoord,פיינורד,Фейеноорд
Galatasaray,גלאטסראיי,Галатасарай
Lens,לאנס,Ланс
Lille,ליל,Лилль
PSV Eindhoven,פ.ס.וו. איינדהובן,ПСВ
Shakhtar Donetsk,שחטאר דונצק,Шахтёр Донецк
Slavia Prague,סלביה פראג,Славия Прага
Sporting CP,ספורטינג ליסבון,Спортинг Лиссабон
Sunderland,סנדרלנד,Сандерленд
Sassuolo,ססואולו,Сассуоло
Likud,הליכוד,Ликуд
Yesh Atid,יש עתיד,Еш Атид
Religious Zionist Party,הציונות הדתית,Ха-Цийонут ха-Датит
National Unity,המחנה הממלכתי,Ха-Махане ха-Мамлахти
Yisrael Beiteinu,ישראל ביתנו,Наш дом Израиль
Shas,"ש""ס",ШАС
United Torah Judaism,יהדות התורה,Яхадут ха-Тора
Ra'am,"רע""ם",РААМ
Hadash-Ta'al,"חד""ש-תע""ל",ХАДАШ-ТААЛ
Labor,העבודה,Авода
Meretz,מרצ,МЕРЕЦ
Balad,"בל""ד",БАЛАД
Other,אחר,Другое
Yashar,ישר,Яшар
Together,ביחד,Бейахад
The Democrats,הדמוקרטים,Ха-Демократим
Blue and White,כחול לבן,Кахоль-лаван
Otzma Yehudit,עוצמה יהודית,Оцма Йехудит
The Economic Party,המפלגה הכלכלית,Экономическая партия
El HaDegel,אל הדגל,Эль ха-Дегель
The Reservists,המילואימניקים,Резервисты
